,status,time,LoanOriginalAmount2,IsBorrowerHomeowner
0,0,1193,1.0,1
1,0,182,0.6,0
2,0,385,0.22,0
3,0,847,0.5,0
4,0,233,0.23,0
5,0,249,0.1,1
6,1,363,0.1,0
7,0,97,0.4,1
8,0,210,0.3,1
9,0,146,0.22,1
10,1,213,0.12,1
11,1,241,1.0,1
12,1,486,0.2,1
13,1,457,0.75,1
14,1,152,0.3001,1
15,0,1096,0.1,1
16,0,136,0.2,1
17,1,1003,1.75,0
18,0,1052,0.1,1
19,0,1096,0.75,1
20,0,1096,0.18,1
21,0,693,0.65,0
22,0,30,0.1,0
23,1,151,0.2,1
24,0,1096,0.2,1
25,0,205,0.35,1
26,0,270,0.3001,1
27,1,242,0.25,1
28,0,1096,0.4,1
29,1,274,0.3035,1
30,0,166,0.5,1
31,0,223,0.5,0
32,0,915,0.5,1
33,0,609,0.3,1
34,0,1096,0.1,1
35,0,767,0.1,0
36,1,883,0.35,0
37,0,1096,0.68,0
38,1,517,0.15,1
39,0,76,0.6001,1
40,0,91,0.7,1
41,0,26,0.1,1
42,1,182,0.25,1
43,1,304,0.17,1
44,0,234,0.5,0
45,1,363,0.15,1
46,0,1096,0.8,0
47,1,305,0.95,1
48,0,937,0.1,0
49,0,384,0.1,0
50,1,305,1.35,0
51,0,41,0.5,1
52,0,1096,1.95,0
53,0,1096,0.3,1
54,0,455,0.15,1
55,0,19,0.255,1
56,1,395,0.3,0
57,0,973,0.4,0
58,0,1096,0.3,1
59,0,880,0.98,1
60,1,668,0.1,1
61,0,657,0.25,0
62,1,212,0.2,1
63,0,354,1.2,1
64,0,125,0.1,1
65,0,265,0.25,1
66,0,1096,0.3001,0
67,0,202,0.3,0
68,1,272,0.255,1
69,0,152,0.3,1
70,1,425,0.4,1
71,0,910,0.19,1
72,0,715,0.5,1
73,1,274,0.5,1
74,1,333,1.5,1
75,1,456,0.3,1
76,0,1096,0.5,0
77,0,419,0.4,1
78,0,200,0.1,0
79,0,1096,0.445,0
80,0,1104,0.3,1
81,1,274,0.3001,1
82,0,800,0.37,0
83,0,994,0.5,1
84,1,363,0.55,1
85,1,151,0.3,1
86,0,32,0.12,1
87,0,1075,1.05,1
88,0,158,1.0,0
89,0,1130,0.55,1
90,1,213,0.25,0
91,1,243,0.12,1
92,1,182,0.2,1
93,0,897,0.35,1
94,1,548,0.9,0
95,0,581,1.0,0
96,0,22,0.3,1
97,0,398,0.35,1
98,0,142,0.1,1
99,0,1096,0.5,1
100,1,486,0.1,1
101,0,163,0.85,1
102,0,1096,0.5,1
103,0,1096,0.3001,1
104,1,211,0.255,1
105,1,701,0.6,1
106,1,242,0.3,1
107,0,1096,0.255,1
108,1,333,0.25,1
109,0,57,0.1,0
110,0,1096,0.284,1
111,0,1096,0.255,1
112,0,1096,0.25,1
113,0,812,0.5,1
114,1,333,0.75,1
115,0,1083,0.6001,1
116,0,476,0.35,0
117,1,516,1.0,0
118,0,86,0.18,0
119,0,1043,1.15,1
120,0,834,0.15,1
121,0,103,0.1,1
122,1,455,0.42,1
123,0,1064,0.255,1
124,1,303,0.25,1
125,0,308,0.6001,1
126,0,1103,0.75,1
127,0,827,0.775,1
128,0,1096,0.1,1
129,0,1096,0.6,1
130,1,151,0.3,0
131,1,242,0.2025,1
132,0,73,0.325,1
133,0,1096,1.8,0
134,0,316,0.15,1
135,0,1084,0.5,0
136,0,277,1.2,1
137,1,669,2.0,1
138,0,443,0.325,1
139,1,152,0.1,1
140,1,212,0.5,1
141,1,1067,0.2,1
142,0,126,0.16,1
143,1,274,0.2,1
144,0,127,0.32,1
145,0,274,0.5,0
146,0,553,0.3,1
147,1,241,1.0,0
148,0,1096,0.1,0
149,0,1096,0.7,1
150,0,365,0.3,1
151,0,14,0.25,0
152,1,152,0.26,1
153,1,761,1.45,1
154,0,1096,0.2501,1
155,0,1096,0.15,0
156,1,731,0.3,1
157,0,1096,1.19,0
158,0,172,0.28,0
159,0,1096,0.9,0
160,0,1096,0.5,0
161,0,178,0.1,1
162,0,127,0.4,1
163,0,232,0.3001,0
164,0,1120,0.77,1
165,0,1096,1.0,1
166,0,781,0.3,1
167,0,1093,0.3,0
168,0,83,0.25,1
169,0,1096,0.35,1
170,0,447,0.5,1
171,0,952,1.9,1
172,0,1096,0.2,0
173,1,486,2.5,0
174,0,1064,0.6001,1
175,0,1050,0.1,1
176,0,775,1.3,1
177,1,151,0.5,1
178,0,345,0.1,1
179,0,1096,2.5,1
180,0,1096,1.025,0
181,0,491,0.5,0
182,1,213,0.25,0
